EntryID,LemmaID,SignFrequency(M),SignFrequency(SD),SignFrequency(Z),SignFrequency(N),PercentUnknown,SignFrequency(M-Native),SignFrequency(SD-Native),SignFreqZ(native),SignFrequency(N-Native),PercentUnknown(Native),GlossConfirmation,PercentGlossAgreement,PercentGlossAgreement(Native),Iconicity(M),Iconicity(SD),Iconicity(Z),Iconicity(N),SubtLexUSLog10WF,LexicalClass,Compound,Initialized,FingerspelledLoanSign,SignOnset(ms),SignOffset(ms),SignLength(ms),ClipLength(ms),SignType,MajorLocation,MinorLocation,SelectedFingers,Flexion,Movement,MinimalNeighborhoodDensity,MaximalNeighborhoodDensity,Parameter-BasedNeighborhoodDensity,SignTypeFrequency,MajorLocationFrequency,MinorLocationFrequency,SelectedFingersFrequency,FlexionFrequency,MovementFrequency,HandshapeFrequency,,Batch,Item,List,Repeat.1
cigar,cigar,2.25,1.648,-1.460258014,24,4.00%,2.077,1.188,-1.528021951,13,7.14%,0,,,3.633,2.045,0.439,30,2.82,Noun,0,0,0,533.87,934.27,400.4,1601.6,OneHanded,Head,Mouth,im,Crossed,BackAndForth,719,10,1,388,300,40,129,13,354,9,,B,55,2,0
cigarette,cigarette,3.367,1.79,-0.539241254,30,0.00%,3.278,1.809,-0.679989012,18,0.00%,0,,,1.586,1.921,-0.65,29,3.133,Noun,0,0,0,533.87,1101.1,567.23,2135.47,AsymmetricalDifferentHandshape,Hand,FingerBack,ip,1,BackAndForth,750,25,0,178,216,21,7,487,354,7,,C,59,1,0
city,city,4.5,1.474,-0.160162251,24,0.00%,4.923,1.498,0.165118694,13,0.00%,0,,,3.148,2.016,0.128,27,3.936,Noun,0,0,0,433.77,800.8,367.03,1434.77,SymmetricalOrAlternating,Neutral,Neutral,imrp,1,Straight,870,88,12,332,349,345,455,487,177,192,,B,29,1,0
class,class,4.72,1.745,-0.017396604,25,0.00%,5.286,1.59,0.367340209,14,0.00%,0,,,1.167,1.948,-0.833,30,3.777,Noun,0,1,0,633.97,967.63,333.67,1568.24,SymmetricalOrAlternating,Neutral,Neutral,imrp,5,None,746,41,6,332,349,345,455,108,180,89,,B,68,3,0
clear,clear,4.269,1.251,0.108104895,26,0.00%,4.375,1.204,0.114044762,16,0.00%,1,50.00%,37.50%,3.667,1.821,0.136,30,3.943,Adjective,0,0,0,600.6,1067.73,467.13,1901.9,SymmetricalOrAlternating,Neutral,Neutral,imrp,6,Straight,752,32,1,332,349,345,455,74,177,20,,D,6,1,0
clock,clock,2.704,1.564,-0.804991624,27,0.00%,2.588,1.278,-0.879382314,17,0.00%,0,,,5.484,2.166,1.154,31,3.476,Noun,1,0,0,800.8,1768.44,967.63,2669.34,AsymmetricalDifferentHandshape,Hand,PalmBack,i,1,None,746,36,1,178,216,24,265,487,180,134,,D,76,2,0
cloud_1,cloud,3.167,1.859,-0.461249516,30,3.23%,3.444,1.917,-0.237631383,18,0.00%,0,,,4.676,2.048,0.725,37,2.778,Noun,0,0,0,934.27,1701.7,767.43,2669.34,SymmetricalOrAlternating,Head,Other,imrp,2,Circular,810,6,1,332,300,74,455,76,111,18,,A,77,1,0
cloud_2,cloud,3.407,1.448,-0.425960219,27,0.00%,3.313,1.493,-0.459921061,16,0.00%,1,44.44%,56.25%,4.371,2.025,0.619,35,2.709,Noun,0,0,0,467.13,1668.34,1201.2,2535.87,SymmetricalOrAlternating,Neutral,Neutral,imrp,5,Circular,711,35,3,332,349,345,455,108,111,89,,D,92,1,0
clown,clown,2.68,1.725,-0.692110154,25,0.00%,2.6,1.682,-0.691667438,15,0.00%,0,,,4.952,2.153,0.629,21,2.907,Noun,0,0,0,333.67,900.9,567.23,1301.3,OneHanded,Head,CheekNose,imrp,5,None,783,33,7,388,300,45,455,108,180,89,,A,26,3,0
cocacola,cocacola,2.846,1.592,-0.748376625,26,0.00%,2.75,1.571,-0.813220764,16,0.00%,0,,,1,2.166,-0.893,31,2.452,Name,0,0,0,700.7,1468.14,767.43,2335.67,OneHanded,Arm,UpperArm,thumb,1,None,728,4,0,388,27,4,54,487,180,44,,D,40,2,0
coconut,coconut,3.593,1.824,-0.151661835,27,0.00%,3.538,1.664,-0.174032535,13,0.00%,0,,,4.067,2.074,0.449,30,2.371,Noun,0,0,0,400.4,1101.1,700.7,1401.4,SymmetricalOrAlternating,Head,Other,imrp,5,BackAndForth,843,25,8,332,300,74,455,108,354,89,,A,88,2,0
coffee,coffee,6.387,0.955,1.235763042,31,0.00%,6.389,1.037,1.248480669,18,0.00%,0,,,2.286,2.048,-0.424,35,3.868,Noun,0,0,0,400.4,1334.67,934.27,1434.77,AsymmetricalSameHandshape,Hand,FingerRadial,imrp,7,Circular,636,12,1,78,216,33,455,82,111,72,,A,32,1,0
coins,coins,1.632,1.116,-1.499274743,19,25.93%,1.545,0.82,-1.490377187,11,25.00%,0,,,1.914,2.025,-0.511,35,2.342,Noun,1,0,0,467.13,1601.6,1134.47,2335.67,AsymmetricalDifferentHandshape,Hand,Palm,imrp,4,None,698,14,1,178,216,91,455,52,180,30,,D,18,1,0
